Zone code,Region/Countries/Area,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
356,India,2020,Balance imports/exports (millions of US dollars),G,,"-92,492",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
356,India,2021,Balance imports/exports (millions of US dollars),G,,"-175,588",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
356,India,2022,Balance imports/exports (millions of US dollars),G,,"-279,882",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,1995,Imports CIF (millions of US dollars),G,,"40,629",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2005,Imports CIF (millions of US dollars),G,,"57,701",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2010,Imports CIF (millions of US dollars),G,,"135,663",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2015,Imports CIF (millions of US dollars),G,,"142,695",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2020,Imports CIF (millions of US dollars),G,,"141,569",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2021,Imports CIF (millions of US dollars),G,,"196,190",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2022,Imports CIF (millions of US dollars),G,,"237,171",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,1995,Exports FOB (millions of US dollars),G,,"45,418",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2005,Exports FOB (millions of US dollars),G,,"85,660",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2010,Exports FOB (millions of US dollars),G,,"157,779",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2015,Exports FOB (millions of US dollars),G,,"150,366",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2020,Exports FOB (millions of US dollars),G,,"163,192",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2021,Exports FOB (millions of US dollars),G,,"231,522",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2022,Exports FOB (millions of US dollars),G,,"292,305",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,1995,Balance imports/exports (millions of US dollars),G,,"4,789",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2005,Balance imports/exports (millions of US dollars),G,,"27,959",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2010,Balance imports/exports (millions of US dollars),G,,"22,116",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2015,Balance imports/exports (millions of US dollars),G,,"7,671",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2020,Balance imports/exports (millions of US dollars),G,,"21,623",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2021,Balance imports/exports (millions of US dollars),G,,"35,333",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
360,Indonesia,2022,Balance imports/exports (millions of US dollars),G,,"55,135",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),1995,Imports CIF (millions of US dollars),S,,"13,882",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2005,Imports CIF (millions of US dollars),S,,"38,869",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2010,Imports CIF (millions of US dollars),S,,"54,697",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2015,Imports CIF (millions of US dollars),S,,"40,037",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2020,Imports CIF (millions of US dollars),S,,"21,194",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2021,Imports CIF (millions of US dollars),S,,"23,465",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2022,Imports CIF (millions of US dollars),S,,"25,291",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),1995,Exports FOB (millions of US dollars),S,,"18,360",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2005,Exports FOB (millions of US dollars),S,,"60,012",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2010,Exports FOB (millions of US dollars),S,,"83,785",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2015,Exports FOB (millions of US dollars),S,,"60,041",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2020,Exports FOB (millions of US dollars),S,,"14,235",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2021,Exports FOB (millions of US dollars),S,,"17,753",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2022,Exports FOB (millions of US dollars),S,,"18,531",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),1995,Balance imports/exports (millions of US dollars),S,,"4,478",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2005,Balance imports/exports (millions of US dollars),S,,"21,143",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2010,Balance imports/exports (millions of US dollars),S,,"29,088",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2015,Balance imports/exports (millions of US dollars),S,,"20,003",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2020,Balance imports/exports (millions of US dollars),S,,"-6,959",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2021,Balance imports/exports (millions of US dollars),S,,"-5,712",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
364,Iran (Islamic Republic of),2022,Balance imports/exports (millions of US dollars),S,,"-6,760",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,1995,Imports CIF (millions of US dollars),S,,445,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2005,Imports CIF (millions of US dollars),S,,"12,861",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2010,Imports CIF (millions of US dollars),S,,"43,915",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2015,Imports CIF (millions of US dollars),S,,"32,667",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2020,Imports CIF (millions of US dollars),S,,"36,324",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2021,Imports CIF (millions of US dollars),S,,"40,768",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2022,Imports CIF (millions of US dollars),S,,"50,397",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,1995,Exports FOB (millions of US dollars),S,,555,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2005,Exports FOB (millions of US dollars),S,,"19,773",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2010,Exports FOB (millions of US dollars),S,,"52,483",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2015,Exports FOB (millions of US dollars),S,,"49,403",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2020,Exports FOB (millions of US dollars),S,,"58,968",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2021,Exports FOB (millions of US dollars),S,,"81,209",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2022,Exports FOB (millions of US dollars),S,,"124,428",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,1995,Balance imports/exports (millions of US dollars),S,,110,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2005,Balance imports/exports (millions of US dollars),S,,"6,912",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2010,Balance imports/exports (millions of US dollars),S,,"8,568",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2015,Balance imports/exports (millions of US dollars),S,,"16,736",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2020,Balance imports/exports (millions of US dollars),S,,"22,644",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2021,Balance imports/exports (millions of US dollars),S,,"40,441",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
368,Iraq,2022,Balance imports/exports (millions of US dollars),S,,"74,031",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
372,Ireland,1995,Imports CIF (millions of US dollars),G,,"32,321",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
